nombre_unidad,razon_social,scian_codigo,scian_descripcion,estrato_personal,municipio,estado,colonia,telefono,www,source_url,source_date,exclusion_anexo_a
LECHE LEON BOULERVARD AREOPUERTO,PASTEURIZADORA DE LEON,311511,Elaboración de leche líquida,251 y más personas,León,Guanajuato,LOS LÓPEZ,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
LEFA,REFIBRA,316110,Curtido y acabado de cuero y piel,101 a 250 personas,Purísima del Rincón,Guanajuato,LOMAS DE BUENAVISTA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
LEFARC,LEFARC,316110,Curtido y acabado de cuero y piel,251 y más personas,León,Guanajuato,PRO. PONIENTE HACIENDA ECHEVESTE,,WWW.LEFAR.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MALTA TEXO DE MEXICO,MALTA TEXO DE MEXICO,311110,Elaboración de alimentos para animales,101 a 250 personas,Villagrán,Guanajuato,VILLAGRAN,,WWW.MALTALEYTON.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURAS Y MAQUILAS DE LEON,MANUFACTURAS Y MAQUILAS DE LEÓN,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,INDUSTRIAL DELTA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA BIGGER,MANUFACTURERA BIGGER,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,San Francisco del Rincón,Guanajuato,BARRIO DE SANTIAGUITO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA DE BOTAS CUADRA,MANUFACTURERA DE BOTAS CUADRA,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,INDUSTRIAL DELTA,,WWW.CUADRA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA DE CALZADO ELISSE,MANUFACTURERA DE CALZADO ELISSE,316213,Fabricación de calzado de plástico,101 a 250 personas,San Francisco del Rincón,Guanajuato,ZONA CENTRO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA DE CALZADO MI PAZSTOR,MANUFACTURERA DE CALZADO MI PAZSTOR,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,Manuel Doblado,Guanajuato,CALLETANA,4771310172,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA DE CALZADO PARRA,MANUFACTURERA DE CALZADO PARRA,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,San Francisco del Rincón,Guanajuato,CUAHUTEMOC,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA DE CALZADO VIGONTI,MANUFACTURERA DE CALZADO VIGONTI,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,EL SALTO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA DE ROPA LA GACELA,MANUFACTURERA DE ROPA LA GACELA,315223,Confección en serie de uniformes,101 a 250 personas,León,Guanajuato,ARBIDE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA EDISON,MANUFACTURERA EDISON,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CIUDAD SATÉLITE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA LOS ALTOS BOOTS,MANUFACTURERA LOS ALTOS BOOTS,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,INDUSTRIAL DELTA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA MAGNO,MANUFACTURERA MAGNO,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CIUDAD SATÉLITE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANUFACTURERA SAN ROQUE,MANUFACTURERA SAN ROQUE,316213,Fabricación de calzado de plástico,251 y más personas,San Francisco del Rincón,Guanajuato,EL MAGUEY,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MAQUILADORA A K,,315229,Confección en serie de otra ropa exterior de materiales textiles,101 a 250 personas,Irapuato,Guanajuato,LAGUNA LARGA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MAQUILADORA DE CALZADO ORTIZ BECERRA,MAQUILADORA DE CALZADO ORTIZ BECERRA,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,San Luis de la Paz,Guanajuato,PURÍSIMA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MAQUILADORA SAN JAVIER,MAQUILADORA SAN JAVIER,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,San Francisco del Rincón,Guanajuato,LOS MANANTIALES,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MAQUILADORA UXMAL,MAQUILADORA UXMAL,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,SAN MIGUEL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MAQUILADORA ZAPATERA SAN LUIS,MAQUILADORA ZAPATERA SAN LUIS,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,ORIENTAL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MAR BRAN,MAR BRAN,311411,Congelación de frutas y verduras,251 y más personas,Irapuato,Guanajuato,18 DE AGOSTO,,WWW.MARBRAN.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MAR BRAN,MAR BRAN,311411,Congelación de frutas y verduras,251 y más personas,Jaral del Progreso,Guanajuato,ARON GARCIA TAMAYO(SAN RAMON),,WWW.MARBRAN.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MARIO BENETTI,MARIO BENETTI,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,SAN JOSÉ EL ALTO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MARQUEZ BROTHERS INTERNATIONAL,MARQUEZ BROTHERS INTERNATIONAL,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,101 a 250 personas,Romita,Guanajuato,SAN FRANCISCO,,WWW.ASIESELMEXICANO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MARROQUINERIA PORTLAD STUDIO,PORTLAD STUDIO,316991,"Fabricación de bolsos de mano, maletas y similares",251 y más personas,León,Guanajuato,INDUSTRIAL BRISAS DEL CAMPO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MEDINA TORRES,MEDINA TORRES,316110,Curtido y acabado de cuero y piel,101 a 250 personas,León,Guanajuato,ARROYO HONDO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MEGAFRESCOS DEL BAJIO,MEGAFRESCOS DEL BAJIO,311411,Congelación de frutas y verduras,251 y más personas,Salamanca,Guanajuato,EL XOCONOSTLE,4641213861,WWW.MEGAFRESCOS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MEXITRES,MEXITRES,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CIUDAD INDUSTRIAL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MODA JEANS SHOES,MANUFACTURERA GINEBRA,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CIUDAD SATÉLITE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MODEROF,CORPORACION ANGLOGAR,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,EL COECILLO,,WWW.MODEROF.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MOLINO HARINERO SAN BLAS,MOLINO HARINERO SAN BLAS,311212,Elaboración de harina de trigo,101 a 250 personas,Salamanca,Guanajuato,LOMA DE FLORES,,WWW.LAITALIANA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MULTISERVICIOS 2001,MULTISERVICIOS 2001,311110,Elaboración de alimentos para animales,251 y más personas,Pénjamo,Guanajuato,SANTA ANA PACUECO,,WWW.NU3.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MURTRALEON,MURTRALEON,313113,Fabricación de hilos para coser y bordar,101 a 250 personas,León,Guanajuato,INDUSTRIAL DELTA,,WWW.MURTRALEON.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MUSTANG LEATHER,MUSTANG LEATHER,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,LOMBARDÍA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
NACIONAL MAQUILADORA DE CALZADO DANTE,NACIONAL MAQUILADORA DE CALZADO,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,INDUSTRIAL DELTA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
NATU FARM,NATU FARM,311110,Elaboración de alimentos para animales,101 a 250 personas,León,Guanajuato,CIUDAD INDUSTRIAL,4771038528,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
NATURAL FOODS,GRUPO IMPORTADOR Y EXPORTADOR MEXICANO,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,101 a 250 personas,Silao de la Victoria,Guanajuato,SAN ISIDRO,4773921030,WWW.NATURALFOODS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
NESTLE PURINA LEON,NESTLE MEXICO,311110,Elaboración de alimentos para animales,251 y más personas,Silao de la Victoria,Guanajuato,LAS CRUCES SANTA FE IV PUERTO INTERIOR,,WWW.NESTLE.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
NUBBA COMERCIAL,NUBBA COMERCIAL,311110,Elaboración de alimentos para animales,101 a 250 personas,Santa Cruz de Juventino Rosas,Guanajuato,JUVENTINO ROSAS,4774954274,WWW.RBNUT.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
OLD GRINGO,OLD GRINGO,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
OLIANSA,OLIANSA,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,SAN JOSÉ DEL CONSUELO,,WWW.OLIANSA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ON YOUR FEET AND SHOES SPI DE CV,ON YOUR FEET AND SHOES S P I DE C V,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CIUDAD SATÉLITE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
OPERADORA DE MOLINOS,OPERADORA DE MOLINOS,311110,Elaboración de alimentos para animales,101 a 250 personas,Salamanca,Guanajuato,SAN VICENTE,,WWW.NUTROLINE.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PILSAC,PRODUCTOS INDUSTRIALES DE LEON,311991,Elaboración de gelatinas y otros postres en polvo,101 a 250 personas,León,Guanajuato,PRO. ORIENTE LA RESERVA,,WWW.PILSAC.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PIMA EXPORT,PIMA EXPORT,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,SAN MIGUEL DP07A,4774098916,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PIRMA BRASIL,MANUFACTURERA DE CALZADO CARIBEAN,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,Purísima del Rincón,Guanajuato,JARDINES DE PURISIMA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PIVEG,PIVEG,311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas",101 a 250 personas,Celaya,Guanajuato,EX HACIENDA DE ESTRADA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PLANTA CEDIS CELAYA,BEBIDAS PURIFICADAS,312111,Elaboración de refrescos y otras bebidas no alcohólicas,251 y más personas,Celaya,Guanajuato,ZONA INDUSTRIAL PONIENTE,,WWW.GEPP.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PLANTA CELAYA,EMBOTELLADORA MEXICANA DE BEBIDAS REFRESCANTES,312111,Elaboración de refrescos y otras bebidas no alcohólicas,251 y más personas,Celaya,Guanajuato,TRES GUERRAS,,WWW.COCA-COLA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PLANTA IRAPUATO UHT,COMERCIALIZADORA DE LACTEOS Y DERIVADOS,311511,Elaboración de leche líquida,251 y más personas,Irapuato,Guanajuato,IRAPUATO,,WWW.LALA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PLANTA LEON,EMBOTELLADORA MEXICANA DE BEBIDAS REFRESCANTES,312111,Elaboración de refrescos y otras bebidas no alcohólicas,251 y más personas,León,Guanajuato,BUGAMBILIAS,,WWW.COCA-COLA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PLANTA PROCESADORA DE AVES DIVISION BAJIO,BACHOCO,311611,"Matanza de ganado, aves y otros animales comestibles",251 y más personas,Celaya,Guanajuato,EL VERGEL,,BACHOCO.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PLANTA SIMPLOT,CONGELADORA Y EMPACADORA NACIONAL,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,251 y más personas,Irapuato,Guanajuato,PURISIMA DEL JARDIN,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
POLIMEROS Y DERIVADOS,POLIMEROS Y DERIVADOS,313230,Fabricación de telas no tejidas (comprimidas),101 a 250 personas,León,Guanajuato,MICHOACÁN,,WWW.POLIMEROSCOM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
POLIMEROS Y DERIVADOS PLANTA HIDALGO,POLIMEROS Y DERIVADOS,313230,Fabricación de telas no tejidas (comprimidas),251 y más personas,León,Guanajuato,SAN JOSÉ DEL CONSUELO,,WWW.POLIMEROS.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PORTAFOLIOS DE PIEL,PORTAFOLIOS DE PIEL,316991,"Fabricación de bolsos de mano, maletas y similares",101 a 250 personas,León,Guanajuato,PRO. FRACCIONES DE SANTA JULIA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PREACABADOS SAN CARLOS,PREACABADOS SAN CARLOS,316999,"Fabricación de otros productos de cuero, piel y materiales sucedáneos",101 a 250 personas,León,Guanajuato,INDUSTRIAL DELTA,,WWW.PREACABADOSSANCARLOS.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PRIME PET,PRIME PET,311110,Elaboración de alimentos para animales,101 a 250 personas,León,Guanajuato,CIUDAD INDUSTRIAL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PROCESADORA SANTA FE,PROCESADORA SANTA FE,311110,Elaboración de alimentos para animales,101 a 250 personas,León,Guanajuato,SAN AGUSTÍN,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PROCESADORA TANOK,PROCESADORA TANOK,311411,Congelación de frutas y verduras,251 y más personas,Silao de la Victoria,Guanajuato,LAS COLINAS,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PROCESOS HUMEDOS DE LEON,PROCESOS HUMEDOS DE LEON,316110,Curtido y acabado de cuero y piel,101 a 250 personas,León,Guanajuato,ARROYO HONDO,,WWW.PROCESOSHUMEDOSDELEON.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PRODUCTORA INTERNACIONAL DE CALZADO,PRODUCTORA INTERNACIONAL DE CALZADO,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,ARBIDE,,WWW.DANTE.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PRODUCTORA INTERNACIONAL DE CALZADO,PRODUCTORA INTERNACIONAL DE CALZADO,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,,WWW.DANTE.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PRODUCTORA INTERNACIONAL DE CALZADO,PRODUCTORA INTERNACIONAL DE CALZADO,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,ARBIDE,,WWW.GRUPODANTE.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PRODUCTOS AGRICOLAS LA CAMPIÑA,PRODUCTOS AGRICOLAS LA CAMPIÑA,311411,Congelación de frutas y verduras,101 a 250 personas,Irapuato,Guanajuato,SANTA ELENA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PRODUCTOS FRUGO,PRODUCTOS FRUGO,311411,Congelación de frutas y verduras,251 y más personas,Salamanca,Guanajuato,EL MONTE,,WWW.PRODUCTOSFRUGO.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PRODUCTOS LACTEOS LA LAJA,PRODUCTOS LACTEOS LA LAJA,311513,Elaboración de derivados y fermentos lácteos,101 a 250 personas,Celaya,Guanajuato,RANCHO SECO,,WWW.LACTEOSLALAJA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PROGEL MEXICANA,PROGEL MEXICANA,311991,Elaboración de gelatinas y otros postres en polvo,101 a 250 personas,León,Guanajuato,ARROYO HONDO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PROSHOE,PROSHOE,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,INDUSTRIAL LAS BRISAS,,WWW.PROSHOE.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PROVEEDURIA INTERNACIONAL DE LEON,PROVEEDURIA INTERNACIONAL DE LEON,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,Silao de la Victoria,Guanajuato,PUERTO INTERIOR SANTA FE III,,WWW.FLEXI.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
PROVEEDURIA INTERNACIONAL DE LEON,PROVEEDURIA INTERNACIONAL DE LEON,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,ORIENTAL,,WWW.FLEXI.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
QUESOS SAN ROQUE,FAMO ALIMENTOS,311513,Elaboración de derivados y fermentos lácteos,251 y más personas,San Francisco del Rincón,Guanajuato,SAN ROQUE DE MONTES,,WWW.QUESOSSNROQUE.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
RASTRO IRAPUATO,COMERCIALIZADORA PORCICOLA MEXICANA,311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles",251 y más personas,Irapuato,Guanajuato,EXHACIENDA LA SOLEDAD,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
RASTRO MUNICIPAL DE LEÓN,RASTRO FRIGORIFICO Y SERVICOS INTEGRALES DEL BAJIO,311611,"Matanza de ganado, aves y otros animales comestibles",251 y más personas,León,Guanajuato,PRO. ORIENTE LA RESERVA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
RAUDAL FOOTWEAR,RAUDAL FOOTWEAR,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,UNIDAD OBRERA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
REFRESQUERA INTERNACIONAL SA DE CV,REFRESQUERA INTERNACIONAL,312111,Elaboración de refrescos y otras bebidas no alcohólicas,251 y más personas,León,Guanajuato,INDUSTRIAL JUÁREZ,,WWW.REFRESQUERAAGA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
RETRYVER EVOLUTION,RETRYVER,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,Silao de la Victoria,Guanajuato,LOGISTICS LOS INFNTES,4772282024,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
REY VAL,FABRICA DE CALZADO REY VAL,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,PRADO HERMOSO,,WWW.REYVAL.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
RICAP,RICAP,311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas",101 a 250 personas,Celaya,Guanajuato,EL VERGEL,,WWW.DELISURE.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
SAFARI,SAFARI,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,INDUSTRIAL BRISAS DEL CAMPO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
SAN PER,GRUPO INDUSTRIAL GASAER,313320,Fabricación de telas recubiertas,251 y más personas,San Francisco del Rincón,Guanajuato,LOMAS DE BUENA VISTA,,WWW.SANPER.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
SANDALIAS AZTLAN,SANDALIAS AZTLAN,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,MIGUEL HIDALGO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
SAPIESA LEON,SACOS DE POLIPROPILENO ESPECIALIZADOS,314911,Confección de costales,251 y más personas,León,Guanajuato,CIUDAD INDUSTRIAL,,WWW.GRUPOORTIZ.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
SARASTI,SARASTI,316212,Fabricación de calzado con corte de tela,101 a 250 personas,Purísima del Rincón,Guanajuato,PUERTA DEL SALITRE,,WWW.SARASTI.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
SCHNEIDER TANNING,SCHNEIDER TANNING,316110,Curtido y acabado de cuero y piel,101 a 250 personas,León,Guanajuato,PARQUE INDUSTRIAL ECOLÓGICO DE LEÓN,,WWW.SCHNEIDERTANNING.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
SCHREIBER MEXICO,SCHREIBER MEXICO,311513,Elaboración de derivados y fermentos lácteos,251 y más personas,Silao de la Victoria,Guanajuato,PUERTO INTERIOR,,WWW.SCHREIBERFOODS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
SENSIENT FLAVORS MEXICO,SENSIENT FLAVORS MEXICO,311940,Elaboración de condimentos y aderezos,101 a 250 personas,Celaya,Guanajuato,ZONA INDUSTRIAL PONIENTE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
SIGMA ALIMENTOS CENTRO,SIGMA ALIMENTOS CENTRO,311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles",251 y más personas,Pénjamo,Guanajuato,ESTACIÓN PENJAMO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
