no,nombre_instalacion,estado,anio_vigencia,tipo_certificado
642,"EMPRESA AGA, S.A. DE C.V.",México,2026,Industria Limpia
643,"PROCTER & GAMBLE MANUFACTURING MÉXICO, S. DE R.L. DE C.V. (PLANTA NAUCALPAN)",Cd. de México / Zmvm,2026,Industria Limpia
644,"PAPELERA IRUĄA, S.A. DE C.V.",Cd. de México / Zmvm,2026,Industria Limpia
645,"PPG AP RESINAS, S.A. DE C.V.",Queretaro,2026,Industria Limpia
646,"CFE GENERACIÓN III EPS, CENTRAL GEOTERMOELÉCTRICA TRES VIRGENES",Baja California Sur,2026,Industria Limpia
647,"SCHÜTZ ELSA, S.A. DE C.V. (PLANTA TALISMÁN)",Cd. de México / Zmvm,2026,Industria Limpia
648,"INGENIO SAN MIGUEL DEL NARANJO, S.A. DE C.V.",San Luis Potosi,2026,Industria Limpia
649,"ZEPEMIN, A.R. DE I.C.",Durango,2026,Industria Limpia
650,"EÓLICA DE ARRIAGA, S.A.P.I. DE C.V.",Chiapas,2026,Industria Limpia
651,"ELECTRÓNICA DALE DE MÉXICO, S.A. DE C.V. (PLANTA BERMÚDEZ 1)",Chihuahua,2026,Industria Limpia
652,"VOL AUTOMOTRIZ, S.A. DE C.V.",Chihuahua,2026,Calidad Ambiental
653,"BAXTER, S.A. DE C.V.",Morelos,2026,Industria Limpia
654,"TU MEJOR AGENCIA AUTOMOTRIZ, S.A. DE C.V. (SUCURSAL ORTIZ MENA)",Chihuahua,2026,Calidad Ambiental
655,"ELECTRÓNICA DALE DE MÉXICO, S.A. DE C.V. (PLANTA BRAVOS)",Chihuahua,2026,Industria Limpia
656,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA SAN CRISTÓBAL, SUBESTACIONES OXCHUC, SAN CRISTÓBAL ORIENTE, COMITÁN, TRINITARIA Y ACALA",Chiapas,2026,Calidad Ambiental
657,"AUTOMOTORES TOKIO, S.A. DE C.V. (SUCURSAL JUÁREZ)",Chihuahua,2026,Calidad Ambiental
658,"CAMIONERA DE CHIHUAHUA, S.A. DE C.V. (SUCURSAL JUÁREZ)",Chihuahua,2026,Calidad Ambiental
659,"CADISA, S.A. DE C.V. (SUCURSAL JUÁREZ)",Chihuahua,2026,Calidad Ambiental
660,"TRACTOCAMIONES KENWORTH DE CHIHUAHUA, S.A. DE C.V. (SUCURSAL JUÁREZ)",Chihuahua,2026,Calidad Ambiental
661,"PENTA MOTRIZ, S. A. DE C. V. (SUCURSAL JUÁREZ)",Chihuahua,2026,Calidad Ambiental
662,"CFE TRANSMISIÓN, GERENCIA NORTE, ZONA DE TRANSMISIÓN CHIHUAHUA, SUBESTACIONES AVALOS, CUAUHTÉMOC II, CHUVISCAR, SAN PEDRO POTENCIA, CHIHUAHUA NORTE, DIVISIÓN DEL NORTE, EL ENCINO, EL ENCINO II, LAGUNA DE ENCINILLAS, QUEVEDO Y CAHUISORI POTENCIA.",Chihuahua,2026,Calidad Ambiental
663,"CFE TRANSMISIÓN, GERENCIA REGIONAL DE TRANSMISIÓN PENINSULAR, ZONA DE TRANSMISIÓN YUCATAN, SUBESTACIÓN NORTE",Yucatán,2026,Calidad Ambiental
664,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA ZAPOTLÁN SUBESTACIÓN TUXPAN",Jalisco,2026,Calidad Ambiental
665,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA ZAPOTLÁN, SUBESTACIÓN ZAPOTILTIC",Jalisco,2026,Calidad Ambiental
666,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA ZAPOTLÁN, SUBESTACIÓN JUAN RULFO",Jalisco,2026,Calidad Ambiental
667,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA ZAPOTLÁN, SUBESTACIÓN SAYULA",Jalisco,2026,Calidad Ambiental
668,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA JUÁREZ, SUBESTACIÓN EL SOL",Jalisco,2026,Calidad Ambiental
669,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA JUÁREZ, SUBESTACIÓN MIRAVALLE",Jalisco,2026,Calidad Ambiental
670,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA ALTOS, SUBESTACIÓN JALOSTOTITLÁN",Jalisco,2026,Calidad Ambiental
671,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA ALTOS, SUBESTACIÓN SAN JUAN DE LOS LAGOS",Jalisco,2026,Calidad Ambiental
672,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA MINAS, SUBESTACIÓN AMATITÁN",Jalisco,2026,Calidad Ambiental
673,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA CIÉNEGA, SUBESTACIÓN LA BARCA",Jalisco,2026,Calidad Ambiental
674,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA LIBERTAD, SUBESTACIÓN CUQUÍO",Jalisco,2026,Calidad Ambiental
675,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA JUÁREZ, SUBESTACIÓN BUGAMBILIAS",Jalisco,2026,Calidad Ambiental
676,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA LIBERTAD, SUBESTACIÓN OBLATOS",Jalisco,2026,Calidad Ambiental
677,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, SUBESTACIÓN PUENTE GRANDE DOS",Jalisco,2026,Calidad Ambiental
678,"SERVICIOS ESTRELLA AZUL DE OCCIDENTE, S.A. DE C.V., PLANTA GUADALAJARA",Jalisco,2026,Calidad Ambiental
679,"CFE GENERACIÓN VI EPS, (CENTRAL HIDROELÉCTRICA CHILAPAN)",Veracruz,2026,Industria Limpia
680,"LEAR MEXICAN TRIM OPERATIONS, S. DE R.L. DE C.V., PLANTA PIEDRAS NEGRAS I Y II",Coahuila,2026,Industria Limpia
681,"LEAR MEXICAN TRIM OPERATIONS, S. DE R.L. DE C.V., PLANTA RÍO BRAVO",Chihuahua,2026,Industria Limpia
682,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA MEXICALI, SUBESTACIONES AEROPUERTO I Y SAN FELIPE",Baja California,2026,Calidad Ambiental
683,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA COSTA, SUBESTACIÓN TALPA",Jalisco,2026,Calidad Ambiental
684,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA COSTA, SUBESTACIÓN AUTLÁN",Jalisco,2026,Calidad Ambiental
685,"ALIGNTECH DE MÉXICO, S. DE R.L. DE C.V. (PLANTA 2)",Chihuahua,2026,Industria Limpia
686,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA VALLARTA, SUBESTACIÓN MUELLE",Jalisco,2026,Calidad Ambiental
687,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA TEPIC, SUBESTACIÓN TABACALERA",Nayarit,2026,Calidad Ambiental
688,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA TEPIC SUBESTACIÓN TEPIC I",Nayarit,2026,Calidad Ambiental
689,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA TEPIC, SUBESTACIÓN LAS BRISAS",Nayarit,2026,Calidad Ambiental
690,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA VALLARTA, SUBESTACIÓN TAMARINDOS",Jalisco,2026,Calidad Ambiental
691,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA CHAPALA, SUBESTACIÓN COCULA",Jalisco,2026,Calidad Ambiental
692,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA MINAS, SUBESTACIÓN AMECA",Jalisco,2026,Calidad Ambiental
693,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA TEPIC, SUBESTACIÓN AHUACATLÁN",Nayarit,2026,Calidad Ambiental
694,"AUTOS PREMIER DE ASIA, S.A. DE C.V. (KIA LOS MOCHIS)",Sinaloa,2026,Calidad Ambiental
695,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA GUAYMAS, SUBESTACIÓN GUAYMAS UNO",Sonora,2026,Calidad Ambiental
696,"SERVICIOS ESTRELLA AZUL DE OCCIDENTE, S.A. DE C.V. (PLANTA TLAXCALA)",Tlaxcala,2026,Calidad Ambiental
697,"CALIDRA DE OCCIDENTE, S.A. DE C.V. (PLANTA 3, SANTA CRUZ)",Jalisco,2026,Industria Limpia
698,"ALCOM ELECTRÓNICOS DE MÉXICO, S.A. DE C.V. (PLANTA 2)",Tamaulipas,2026,Industria Limpia
699,"ALCOM ELECTRÓNICOS DE MÉXICO, S.A. DE C.V. (PLANTA 1)",Tamaulipas,2026,Industria Limpia
700,"AEROPUERTO DEL BAJÍO, S.A. DE C.V.",Guanajuato,2026,Calidad Ambiental
701,"ECCACIV, S.A. DE C.V.",Morelos,2026,Calidad Ambiental
702,"CFE GENERACIÓN VI EPS, (CENTRAL HIDROELÉCTRICA TUXPANGO)",Veracruz,2026,Industria Limpia
703,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN LA MESA",Baja California,2026,Calidad Ambiental
704,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN PACÍFICO.",Baja California,2026,Calidad Ambiental
705,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN LAGO.",Baja California,2026,Calidad Ambiental
706,"CFE GENERACIÓN VI EPS, (CENTRAL HIDROELÉCTRICA IXTACZOQUITLÁN)",Veracruz,2026,Industria Limpia
707,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA MANZANILLO, SUBESTACIONES COLOMOS, FONDEPORT, MINATITLÁN, MIRAMAR, SALAHUA Y TAPEIXTLES",Colima,2026,Calidad Ambiental
708,"CENTAURO AUTOMOTRIZ, S.A. DE C.V. (MATRIZ)",Chihuahua,2026,Calidad Ambiental
709,"ALIGNTECH DE MÉXICO, S. DE R.L. DE C.V. (PLANTA 1)",Chihuahua,2026,Industria Limpia
710,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN PANAMERICANA.",Baja California,2026,Calidad Ambiental
711,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN TECOLOTE.",Baja California,2026,Calidad Ambiental
712,"BONAFONT, S.A. DE C.V. (PLANTA CULIACÁN)",Sinaloa,2026,Industria Limpia
713,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN EL BAJÍO",Baja California,2026,Calidad Ambiental
714,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN EL FLORIDO",Baja California,2026,Calidad Ambiental
715,"BIOSEA, S.A. DE C.V. (SUCURSAL LA PAZ)",Baja California Sur,2026,Calidad Ambiental
716,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA TAPACHULA, SUBESTACIONES ARRIAGA, PUERTO CHIAPAS, RÍO COATÁN, TAPACHULA ORIENTE, TONALÁ, ACACOYAGUA, CIUDAD HIDALGO, HUIXTLA, MOTOZINTLA Y TAPACHULA AEROPUERTO",Chiapas,2026,Calidad Ambiental
717,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA CHONTALPA, SUBESTACIÓN PEĄITAS II",Chiapas,2026,Calidad Ambiental
718,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA MORELOS, SUBESTACIÓN TLALTIZAPAN",Morelos,2026,Calidad Ambiental
719,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA MORELOS, SUBESTACIÓN CENTENARIO",Morelos,2026,Calidad Ambiental
720,"SISTEMAS ENERGÉTICOS SISA, S.A. DE C.V.",Veracruz,2026,Industria Limpia
721,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA ALTAMIRANO, SUBESTACIÓN EL CARACOL",Guerrero,2026,Calidad Ambiental
722,"CONDUMEX, S.A. DE C.V.",Cd. de México / Zmvm,2026,Industria Limpia
723,"PREMIER DE ORIENTE, S. DE R.L. DE C.V. (TOYOTA GUASAVE)",Sinaloa,2026,Calidad Ambiental
724,"ALIGNTECH DE MÉXICO, S. DE R. L. DE C. V. (PLANTA 3)",Chihuahua,2026,Calidad Ambiental
725,"TRITURADORA Y PROCESADORA DE MATERIALES SANTA ANITA, S.A DE C.V (PLANTA PROGRESO)",Yucatán,2026,Calidad Ambiental
726,"COMPAĄIA CERVECERA DE COAHUILA, S. DE R.L. DE C.V.",Coahuila,2026,Industria Limpia
727,"ADVANCED COMPOSITES MEXICANA, S.A. DE C.V.",Aguascalientes,2026,Industria Limpia
728,"INDUSTRIA ENVASADORA DE QUERÉTARO, S.A. DE C.V.",Queretaro,2026,Industria Limpia
729,"BIO PAPPEL, S.A. DE C.V. (PLANTA TEPATITLÁN)",Jalisco,2026,Industria Limpia
730,"SERVICIOS DE TURBINAS SOLAR, S. DE R.L. DE C.V.",Veracruz,2026,Calidad Ambiental
731,"SCHÜTZ ELSA, S.A. DE C.V. (PLANTA TULTITLÁN II)",Cd. de México / Zmvm,2026,Industria Limpia
732,COMISIÓN FEDERAL DE ELECTRICIDAD (RESIDENCIA LAS TRES VIRGENES),Baja California Sur,2026,Industria Limpia
733,"AUSTIN BACIS, S.A. DE C.V.",Durango,2026,Industria Limpia
734,"ADMINISTRACIÓN DEL SISTEMA PORTUARIO NACIONAL MAZATLÁN, S.A. DE C.V.",Sinaloa,2026,Calidad Ambiental Turistica
735,"MITSUBISHI ELECTRIC DE MÉXICO, S.A. DE C.V. (PLANTA I)",Queretaro,2026,Industria Limpia
736,"ALTYA, S.A. DE C.V. (TALLER Y OFICINA DE CULIACÁN)",Sinaloa,2026,Calidad Ambiental
737,"EMPAQUES MODERNOS SAN PABLO, S. DE R.L. DE C.V.",Cd. de México / Zmvm,2026,Industria Limpia
738,"ALAMBRADOS Y CIRCUITOS ELÉCTRICOS, S. DE R.L. DE C.V. (PLANTA XVI)",Durango,2026,Industria Limpia
739,"ALAMBRADOS Y CIRCUITOS ELÉCTRICOS, S. DE R.L. DE C.V. (PLANTA XVIII)",Durango,2026,Industria Limpia
740,"MOTORES LA PAZ, S.A.P.I. DE C.V.",Baja California Sur,2026,Calidad Ambiental
741,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA HERMOSILLO, SUBESTACIONES ACUÍCOLA, LADRILLERAS, VILLA DEL PITIC, TASTIOTA, HERMOSILLO NUEVE, TECNOLÓGICO, SELECTA, CARDONAL Y SAN NICOLÁS",Sonora,2026,Calidad Ambiental
742,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA CABORCA, SUBESTACIONES ALTAR, CERRO CAĄEDO Y SIEMPRE VIVA",Sonora,2026,Calidad Ambiental
743,"VISIÓN AUTOMOTRIZ DE SINALOA, S.A. DE C.V. (HONDA LOS MOCHIS)",Sinaloa,2026,Calidad Ambiental
744,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA LOS MOCHIS, SUBESTACIONES HORNILLOS Y MOCHIS UNO.",Sinaloa,2026,Calidad Ambiental
745,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA CUERNAVACA, SUBESTACIÓN TEMIXCO",Morelos,2026,Calidad Ambiental
746,"PROMOTORA AMBIENTAL DE LA LAGUNA, S.A. DE C.V. (CARP)",Sinaloa,2026,Calidad Ambiental
747,"PROBEMEX, S.A. DE C.V.",Cd. de México / Zmvm,2026,Industria Limpia
748,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA DE CUERNAVACA, SUBESTACIÓN TABACHINES",Morelos,2026,Calidad Ambiental
749,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA CUERNAVACA, SUBESTACIÓN CUERNAVACA",Morelos,2026,Calidad Ambiental
750,"MEXICALI DIRECTO AL CLIENTE, S. DE R. L. DE C. V.",Baja California,2026,Industria Limpia
751,"AUTOS PREMIER DE ORIENTE, S.A. DE C.V. (HYUNDAI MAZATLÁN)",Sinaloa,2026,Calidad Ambiental
752,"PREMIER BRITANICA, S.A DE C.V. (JAGUAR LAND ROVER CULIACÁN)",Sinaloa,2026,Calidad Ambiental
753,"SEKISUI S-LEC MÉXICO, S.A. DE C.V.",Morelos,2026,Industria Limpia
754,"SCHNEIDER INDUSTRIAL TLAXCALA, S.A. DE C.V.",Tlaxcala,2026,Industria Limpia
755,"PROCTER & GAMBLE MANUFACTURING MÉXICO, S. DE R.L. DE C.V. PLANTA MILENIO",Guanajuato,2026,Industria Limpia
756,"TROQUELADORA BATESVILLE DE MÉXICO, S. DE R.L. DE C.V.",Queretaro,2026,Industria Limpia
757,"INDUSTRIAS H-24, S.A. DE C.V.",Cd. de México / Zmvm,2026,Industria Limpia
758,"TELEVISA, S. DE R.L. DE C.V. (CENTRO DE ACOPIO) (COMPUESTO POR GRUPO TELEVISA, S.A.B., ALTAVISTA SUR INMOBILIARIA, S.A. DE C.V., TELEVISA PRODUCCIONES, S.A. DE C.V., ECOPRODUCCIONES, S.A. DE C.V., PRODUCCIONES DEPORTIVAS TUDN, S.A. DE C.V., CORPORATIVO TELEVISA, S.A. DE C.V., DESARROLLO VISTAHERMOSA)",Cd. de México / Zmvm,2026,Calidad Ambiental
759,MARITIME PROCUREMENT SERVICES S.A.P.I. DE C.V. (MANZANILLO),Colima,2026,Calidad Ambiental
760,"PRAXAIR MÉXICO, S. DE R.L. DE C.V., (PLANTA CO2 MORELOS)",Veracruz,2026,Industria Limpia
761,"TERMINALES MEXICANAS DE CARGA Y ALMACENAJE, S.A. DE C.V.",Colima,2026,Calidad Ambiental
762,"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA MATAMOROS ORIENTE)",Tamaulipas,2026,Calidad Ambiental
763,"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA MAQUILPARK)",Tamaulipas,2026,Calidad Ambiental
764,"PESCA AZTECA, S.A. DE C.V.",Sinaloa,2026,Calidad Ambiental
765,"PRODUCTOS CHATA,S.A.DE C.V.(PLANTA CULIACÁN)",Sinaloa,2026,Industria Limpia
766,"INDUSTRIAL PAPELERA MEXICANA, S.A. DE C.V.",Michoacan,2026,Industria Limpia
767,"AEROPUERTO DE TAMPICO, S.A. DE C.V.",Tamaulipas,2026,Calidad Ambiental
768,"DICOM FRESNILLO, S.A. DE C.V.",Zacatecas,2026,Industria Limpia
769,"CFE TRANSMISIÓN, GERENCIA ORIENTE, ZONA XALAPA, SUBESTACIONES JALACINGO Y EL CASTILLO",Veracruz,2026,Calidad Ambiental
770,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA MORELOS, SUBESTACIÓN TEZOYUCA",Morelos,2026,Calidad Ambiental
771,"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA MATAMOROS DEL NORTE).",Tamaulipas,2026,Calidad Ambiental
772,"BARCEL, S.A. DE C.V. PLANTA LERMA",México,2026,Industria Limpia
773,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO SUR, ZONA TOLUCA, SUBESTACIÓN SAN FRANCISCO",México,2026,Calidad Ambiental
774,"EFFEM MÉXICO INC. Y COMPAĄÍA, S. EN N.C. DE C.V. (MARS MÉXICO PLANTA GUADALAJARA)",Jalisco,2026,Industria Limpia
775,"SSA LÁZARO CÁRDENAS, S.A. DE C.V.",Michoacan,2026,Calidad Ambiental
776,"CERVECERÍA DEL PACÍFICO, S. DE R.L. DE C.V.",Sinaloa,2026,Industria Limpia
777,"PREMIER DE ORIENTE, S. DE R.L. DE C.V. (TOYOTA CULIACÁN)",Sinaloa,2026,Calidad Ambiental
778,"PREMIER AUTOCOUNTRY, S.A. DE C.V.",Sinaloa,2026,Calidad Ambiental
779,PROPIMEX S. DE R.L DE C.V. (DISTRIBUIDORA MEGA OAXACA),Oaxaca,2026,Calidad Ambiental
780,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA OBREGÓN, SUBESTACIONES PROGRESO, NAINARI, TOBARITO, CAJEME, PROVIDENCIA Y TETABIATE",Sonora,2026,Calidad Ambiental
781,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA NAVOJOA, SUBESTACIONES HUATABAMPO, NAVOJOA NORTE Y NAVOJOA ORIENTE",Sonora,2026,Calidad Ambiental
782,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA POZA RICA, SUBESTACIONES ENTABLADERO, PALMAS Y TIHUATLÁN II.",Veracruz,2026,Calidad Ambiental
783,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA CABORCA, SUBESTACIONES CABORCA Y EL DESEO",Sonora,2026,Calidad Ambiental
784,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA COATZACOALCOS, SUBESTACIONES AGUA DULCE II Y MINATITLÁN I.",Veracruz,2026,Calidad Ambiental
785,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA OBREGÓN, SUBESTACIÓN VILLA GUADALUPE",Sonora,2026,Calidad Ambiental
786,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA CULIACÁN, SUBESTACIONES BACHIGUALATO, CULIACÁN UNO Y CULIACÁN CUATRO",Sinaloa,2026,Calidad Ambiental
787,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA VILLAHERMOSA, SUBESTACIÓN GAVIOTAS",Tabasco,2026,Calidad Ambiental
788,"CAMIONES PREMIER DEL NOROESTE, S.A. DE C.V.",Sinaloa,2026,Calidad Ambiental
789,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PUEBLA ORIENTE, SUBESTACIÓN ORIENTE",Puebla,2026,Calidad Ambiental
790,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PUEBLA ORIENTE, SUBESTACIÓN GUADALUPE ANALCO",Puebla,2026,Calidad Ambiental
791,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PUEBLA PONIENTE, SUBESTACIÓN PONIENTE",Puebla,2026,Calidad Ambiental
792,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PUEBLA PONIENTE, SUBESTACIÓN SAN LORENZO",Puebla,2026,Calidad Ambiental
793,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PUEBLA PONIENTE, SUBESTACIÓN TONANZINTLA",Puebla,2026,Calidad Ambiental
794,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA MORELIA, SUBESTACIONES AZUFRES, CAMPESTRE, INDEPENDENCIA, MORELIA DOS, SANTA MARÍA, SANTIAGO UNDAMEO, SANTIAGUITO, TRES MARÍAS, VILLA MADERO, ZINAPÉCUARO.",Michoacan,2026,Calidad Ambiental
795,"CFE DISTRIBUCIÓN GERENCIA CENTRO OCCIDENTE, ZONA LA PIEDAD, SUBESTACIONES ZINAPARO Y TANHUATO",Michoacan,2026,Calidad Ambiental
796,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA LA PIEDAD, SUBESTACIONES AGAVE, YURECUARO",Jalisco,2026,Calidad Ambiental
797,"INTERNATIONAL PAPER MÉXICO COMPANY, S. DE R.L. DE C.V. (XALAPA RECYCLING)",Veracruz,2026,Calidad Ambiental
798,"AMEQ DE MÉXICO, S.A. DE C.V.",Coahuila,2026,Industria Limpia
799,"ENVASES ELOPAK, S.A. DE C.V.",Durango,2026,Industria Limpia
800,"CFE TRANSMISIÓN, GERENCIA NORTE, ZONA DURANGO, SUBESTACIONES DURANGO DOS, LA TRINIDAD, JERÓNIMO ORTIZ MARTÍNEZ Y CANATLÁN DOS POTENCIA",Durango,2026,Calidad Ambiental
801,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA ZITÁCUARO, SUBESTACIONES CIUDAD HIDALGO, MONARCA, SAN JUAN ZITÁCURO, TUXPAN, ZITÁCUARO DOS, ZITÁCUARO UNO",Michoacan,2026,Calidad Ambiental
802,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA COLIMA, SUBESTACIÓN LA ESTRELLA",Jalisco,2026,Calidad Ambiental
803,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA MATAMOROS, SUBESTACIÓN ACATLÁN",Puebla,2026,Calidad Ambiental
804,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TEHUACÁN, SUBESTACIÓN TEHUACÁN",Puebla,2026,Calidad Ambiental
805,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TECAMACHALCO, SUBESTACIÓN TECAMACHALCO",Puebla,2026,Calidad Ambiental
806,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TECAMACHALCO, SUBESTACIÓN ESPERANZA",Puebla,2026,Calidad Ambiental
807,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA MORELOS, SUBESTACIÓN PUENTE DE IXTLA",Morelos,2026,Calidad Ambiental
808,"FISHER DYNAMICS MÉXICO, S. DE R.L. DE C.V.",Tamaulipas,2026,Industria Limpia
809,"SERVICIOS REFRESQUEROS DEL GOLFO Y BAJÍO, S. DE R.L. DE C.V. PLANTA APIZACO",Tlaxcala,2027,Industria Limpia
810,"MÉXICO SONAVOX ELECTRONICS CO, S. DE R.L. DE C.V.",Tlaxcala,2027,Industria Limpia
811,"METALÚRGICA ARTESANAL, S.A. DE C.V.",Tlaxcala,2027,Industria Limpia
812,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PUEBLA PONIENTE, SUBESTACIÓN NORTE",Puebla,2027,Calidad Ambiental
813,"AUTOMOTIVE VERITAS DE MÉXICO, S.A. DE C.V.",Puebla,2027,Industria Limpia
814,"CEMENTOS Y CONCRETOS NACIONALES, S.A. DE C.V.",Aguascalientes,2027,Industria Limpia
815,"EOLICA LOS ALTOS, S.A.P.I. DE C.V., (PARQUE EOLICO LOS ALTOS)",Jalisco,2027,Industria Limpia
816,"INGENIO SANTA CLARA, S.A. DE C.V.",Michoacan,2027,Industria Limpia
817,AUTOLIV MÉXICO S.A. DE C.V. (PLANTA LERMA),México,2027,Industria Limpia
818,"PLÁSTICOS BANDREX, S.A. DE C.V.",Jalisco,2027,Industria Limpia
819,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA CHAPALA, SUBESTACIÓN CATARINA",Jalisco,2027,Calidad Ambiental
820,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA MINAS, SUBESTACIÓN TEQUILA",Jalisco,2027,Calidad Ambiental
821,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA MINAS, SUBESTACIÓN LA VEGA",Jalisco,2027,Calidad Ambiental
822,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA MINAS, SUBESTACIÓN ESTANCITA",Jalisco,2027,Calidad Ambiental
823,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA ZAPOTLÁN SUBESTACIÓN TAMAZULA",Jalisco,2027,Calidad Ambiental
824,"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA ZAPOTLÁN SUBESTACIÓN JUAN JOSÉ ARREOLA",Jalisco,2027,Calidad Ambiental
