no,nombre_instalacion,estado,anio_vigencia,tipo_certificado
510,"DOBOS, S.A. DE C.V.",México,2026,Industria Limpia
511,"REFACCIONARIA ROCA, S.A.DE C.V. (CENTRO DE SERVICIO TALIA)",Aguascalientes,2026,Calidad Ambiental
512,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PACHUCA, SUBESTACIÓN BOXAXNI",Hidalgo,2026,Calidad Ambiental
513,"TRITURADORA Y PROCESADORA DE MATERIALES SANTA ANITA, S.A. DE C.V. (PLANTA TULA).",Hidalgo,2026,Industria Limpia
514,"AEROPUERTO DE CHIHUAHUA, S.A. DE C.V.",Chihuahua,2026,Calidad Ambiental
515,"SCHWEITZER ENGINEERING LABORATORIES, S.A. DE C.V.",San Luis Potosi,2026,Industria Limpia
516,"PILGRIMęS PRIDE, S. DE R.L. DE C.V. (PLANTA CITRA)",Durango,2026,Industria Limpia
517,"PRODUCTOS ALIMENTICIOS DONDÉ, S.A. DE C.V.",Yucatán,2026,Industria Limpia
518,"DAIMLER VEHÍCULOS COMERCIALES MÉXICO, S. DE R.L. DE C.V. (PLANTA MONTERREY AUTOBUSES)",Nuevo León,2026,Industria Limpia
519,"PILGRIMS PRIDE, S. DE R.L. DE C.V. (PLANTA POPULAR)",Durango,2026,Industria Limpia
520,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO CENTRO, ZONA NEZAHUALCÓYOTL, SUBESTACIÓN PANTITLÁN",Cd. de México / Zmvm,2026,Calidad Ambiental
521,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., OFICINAS ADMINISTRATIVAS PARQUE VÍA 198",Cd. de México / Zmvm,2026,Calidad Ambiental
522,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRAL TELEFÓNICA POPOCATEPETL I",Cd. de México / Zmvm,2026,Calidad Ambiental
523,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA CULIACÁN, SUBESTACIONES EL DORADO, COSTA RICA, CULIACÁN SUR, CULIACÁN CINCO, CULIACÁN DOS, ISLA MUSALA Y PERICOS.",Sinaloa,2026,Calidad Ambiental
524,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA NOGALES, SUBESTACIONES NUEVO NOGALES Y NUEVO PROGRESO.",Sonora,2026,Calidad Ambiental
525,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA XALAPA, SUBESTACIONES COATEPEC, JALAPA II, LAS TRANCAS Y LA REINA.",Veracruz,2026,Calidad Ambiental
526,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO CENTRO, ZONA NEZAHUALCÓYOTL, SUBESTACIÓN NEZAHUALCÓYOTL",Cd. de México / Zmvm,2026,Calidad Ambiental
527,"TRINITY RAIL DE MÉXICO, S. DE R.L. DE C.V.( PLANTA CASTAĄOS 323)",Coahuila,2026,Industria Limpia
528,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA TEZIUTLÁN, SUBESTACIÓN MARTÍNEZ DE LA TORREII",Veracruz,2026,Calidad Ambiental
529,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA VERACRUZ, SUBESTACIONES ALUMINIO, BOCA DEL RÍO, CARDEL, FRAMBOYANES, INFONAVIT, PAGES, PIEDRAS NEGRAS Y PLAYA NORTE.",Veracruz,2026,Calidad Ambiental
530,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TEHUACÁN, SUBESTACIÓN TLACOTEPEC",Puebla,2026,Calidad Ambiental
531,"MEXICHEM COMPUESTOS, S.A. DE C.V. PLANTA ALTAMIRA I",Tamaulipas,2026,Industria Limpia
532,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TULANCINGO, SUBESTACIÓN SAN LORENZO",Hidalgo,2026,Calidad Ambiental
533,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PUEBLA ORIENTE, SUBESTACIÓN LARA GRAJALES",Puebla,2026,Calidad Ambiental
534,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TEHUACÁN, SUBESTACIÓN SIERRA NEGRA",Puebla,2026,Calidad Ambiental
535,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TECAMACHALCO, SUBESTACIÓN SERDÁN",Puebla,2026,Calidad Ambiental
536,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TECAMACHALCO, SUBESTACIÓN ATEXCAC",Puebla,2026,Calidad Ambiental
537,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TECAMACHALCO, SUBESTACIÓN GUADALUPE VICTORIA",Puebla,2026,Calidad Ambiental
538,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA MATAMOROS, SUBESTACIÓN HUEHUETLÁN",Puebla,2026,Calidad Ambiental
539,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA MATAMOROS, SUBESTACIÓN JOLALPAN",Puebla,2026,Calidad Ambiental
540,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TULANCINGO, SUBESTACIÓN TEXCAPA",Puebla,2026,Calidad Ambiental
541,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA MATAMOROS, SUBESTACIÓN NEALTICAN",Puebla,2026,Calidad Ambiental
542,"LABORATORIOS SILANES, S.A. DE C.V.",México,2026,Industria Limpia
543,"VIBRACOUSTIC TOLUCA, S.A. DE C.V.",México,2026,Industria Limpia
544,"OPERACIÓN Y MANUFACTURA INTERCERAMIC, S.A. DE C.V. COMPLEJO SUR",Chihuahua,2026,Industria Limpia
545,"LEAR MEXICAN TRIM OPERATIONS, S. DE R.L. DE C.V., PLANTA SAN LORENZO",Chihuahua,2026,Industria Limpia
546,"PROPIMEX, S. DE R.L. DE C.V. (CENTRO DE DISTRIBUCIÓN MEGA ORIZABA)",Veracruz,2026,Calidad Ambiental
547,"TELÉFONOS DE MÉXICO, S.A.B. DE C.V., CENTRO TELEFÓNICO SAN JUAN",Cd. de México / Zmvm,2026,Calidad Ambiental
548,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA ENSENADA, SUBESTACIÓN SAN QUINTÍN.",Baja California,2026,Calidad Ambiental
549,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA ENSENADA, SUBESTACIÓN SAN SIMÓN.",Baja California,2026,Calidad Ambiental
550,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA ENSENADA, SUBESTACIÓN TRINIDAD.",Baja California,2026,Calidad Ambiental
551,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA ENSENADA SUBESTACIÓN MANEADERO",Baja California,2026,Calidad Ambiental
552,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA ENSENADA SUBESTACIÓN OJOS NEGROS",Baja California,2026,Calidad Ambiental
553,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA ENSENADA SUBESTACIÓN VALLE DE GUADALUPE",Baja California,2026,Calidad Ambiental
554,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA VILLAHERMOSA, SUBESTACIONES FRONTERA Y CASA BLANCA",Tabasco,2026,Calidad Ambiental
555,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN CÁRDENAS",Baja California,2026,Calidad Ambiental
556,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN UNIVERSIDAD",Baja California,2026,Calidad Ambiental
557,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN GUERRERO",Baja California,2026,Calidad Ambiental
558,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN MÉXICO",Baja California,2026,Calidad Ambiental
559,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA DELICIAS, SUBESTACIÓN ARMENDÁRIZ",Chihuahua,2026,Calidad Ambiental
560,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA TORREÓN, SUBESTACIÓN ALLENDE",Coahuila,2026,Calidad Ambiental
561,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA PAPALOAPAN, SUBESTACIÓN ISLA.",Veracruz,2026,Calidad Ambiental
562,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA GÓMEZ PALACIO, SUBESTACIÓN SACRAMENTO",Durango,2026,Calidad Ambiental
563,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA GÓMEZ PALACIO, SUBESTACIÓN EL VERGEL",Durango,2026,Calidad Ambiental
564,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA GÓMEZ PALACIO, SUBESTACIÓN MIRAVALLE",Durango,2026,Calidad Ambiental
565,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA PARRAL, SUBESTACIÓN GUACHOCHI",Chihuahua,2026,Calidad Ambiental
566,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA PARRAL, SUBESTACIÓN ALTAVISTA",Chihuahua,2026,Calidad Ambiental
567,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA DELICIAS, SUBESTACIÓN DELICIAS",Chihuahua,2026,Calidad Ambiental
568,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA DELICIAS, SUBESTACIÓN BOQUILLITA",Chihuahua,2026,Calidad Ambiental
569,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA DELICIAS, SUBESTACIÓN LÁZARO CÁRDENAS",Chihuahua,2026,Calidad Ambiental
570,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA JUÁREZ, SUBESTACIÓN AZTECAS",Chihuahua,2026,Calidad Ambiental
571,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA JUÁREZ, SUBESTACIÓN EL GAVILÁN",Chihuahua,2026,Calidad Ambiental
572,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA JUÁREZ, SUBESTACIÓN LA CUESTA",Chihuahua,2026,Calidad Ambiental
573,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA JUÁREZ, SUBESTACIÓN LA PALMA",Chihuahua,2026,Calidad Ambiental
