no,nombre_instalacion,estado,tipo_certificado
39,"GRUPO EMPRESARIAL SALAVERRY, S.A. DE C.V.",Tlaxcala,Industria Limpia
40,"TRUCK AND WHEEL MÉXICO, S. DE R.L. DE C.V.",Puebla,Industria Limpia
41,"SERVISAN, S.A. DE C.V. (NAUCALPAN)",Distrito Federal,Calidad Ambiental
42,"POLYNT COMPOSITES MÉXICO, S.A. DE C.V.",México,Industria Limpia
43,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PACHUCA (SUBESTACIÓN PACHUCA)",Hidalgo,Calidad Ambiental
44,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PACHUCA, SUBESTACIÓN ACTOPAN",Hidalgo,Calidad Ambiental
45,"MAQUILAS TETA KAWI, S.A. DE C.V. DEPARTAMENTO TE CONNECTIVITY CORPORATION PLANTA 5",Sonora,Industria Limpia
46,CERVECERÍA CUAUHTÉMOC MOCTEZUMA S.A. DE C.V. (PLANTA NAVOJOA),Sonora,Industria Limpia
47,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA TEHUANTEPEC, SUBESTACIONES JUCHITÁN I, IXTEPEC, TECNOLÓGICO, SARABIA Y SALINA CRUZ I",Oaxaca,Calidad Ambiental
48,"DAIMLER VEHÍCULOS COMERCIALES MÉXICO, S. DE R.L. DE C.V., CENTRO INTERNACIONAL DE DISTRIBUCIÓN DE PARTES (CIDP)",San Luis Potosi,Calidad Ambiental
49,"MERCEDES-BENZ MÉXICO, S. DE R. L. DE C. V. (EDIFICIO CORPORATIVO)",Distrito Federal,Calidad Ambiental
50,CFE GENERACIÓN III EPS (CENTRAL CICLO COMBINADO EMPALME I Y II),Sonora,Industria Limpia
51,"SCIENTIFIC ATLANTA DE MÉXICO, S. DE R.L. DE C.V.",Chihuahua,Industria Limpia
52,"DHL METROPOLITAN LOGISTICS SC MÉXICO, S.A. DE C.V. (SAN LUIS POTOSÍ)",San Luis Potosi,Calidad Ambiental
53,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA TUXTLA, SUBESTACIONES: GRIJALVA, INDEPENDENCIA, LA GARZA, OCOZOCOAUTLA, REAL DEL BOSQUE, TUXTLA SUR, VILLAFLORES DOS, CINTALAPA, SOYALÓ Y TUXTLA NORTE",Chiapas,Calidad Ambiental
54,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TULANCINGO, SUBESTACIÓN TULANCINGO",Hidalgo,Calidad Ambiental
55,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PACHUCA, SUBESTACIÓN PARQUE INDUSTRIAL REFORMA",Hidalgo,Calidad Ambiental
56,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TULANCINGO, SUBESTACIÓN VALLE TULANCINGO",Hidalgo,Calidad Ambiental
57,BANCO DE MÉXICO (COMPLEJO LEGARIA),Distrito Federal,Industria Limpia
58,"AUTOWELT, S.A. DE C.V. (BMW CULIACÁN)",Sinaloa,Calidad Ambiental
59,"PREMIER CHEVROLET, S.A.DE C.V.",Sinaloa,Calidad Ambiental
