no,nombre_instalacion,estado,tipo_certificado
183,"VIBRACOUSTIC DE MÉXICO, S.A. DE C.V. (PLANTA QUERÉTARO)",Queretaro,Industria Limpia
184,"COSMETIC COLORS, S.A. DE C.V.",México,Industria Limpia
185,"ALAMBRADOS Y CIRCUITOS ELÉCTRICOS, S. DE R.L. DE C.V. (PLANTA VI)",Chihuahua,Industria Limpia
186,"CFE DISTRIBUCIÓN, GERENCIA GOLFO CENTRO, ZONA MANTE, SUBESTACIONES AZTECAS, LIBRAMIENTO Y XICOTÉNCATL II",Tamaulipas,Calidad Ambiental
187,"CFE DISTRIBUCIÓN, GERENCIA GOLFO CENTRO, ZONA VICTORIA, SUBESTACIONES BARRETAL, JIMENEZ, NUEVO SANTANDER Y SOTO LA MARINA",Tamaulipas,Calidad Ambiental
188,"CFE DISTRIBUCIÓN, GERENCIA GOLFO CENTRO, ZONA VICTORIA, SUBESTACIONES TIERRA NUEVA, VICTORIA Y ESTRELLA",Tamaulipas,Calidad Ambiental
189,"AEROPUERTO DE MÉRIDA, S.A. DE C.V.",Yucatan,Calidad Ambiental
190,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA HERMOSILLO, SUBESTACIONES PUEBLITOS, PORTALES, QUIROGA, SUBESTACIÓN OCHO, SUBESTACIÓN UNO, BAHÍA KINO, SUBESTACIÓN TRES, SUBESTACIÓN CINCO, SUBESTACIÓN SEIS Y SUBESTACIÓN NUEVE.",Sonora,Calidad Ambiental
191,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA HERMOSILLO, SUBESTACIONES HERMOSILLO UNO, OASIS, PARQUE INDUSTRIAL HERMOSILLO NORTE, SUBESTACIÓN SIETE, SUBESTACIÓN DIEZ, COLINAS, SUBESTACIÓN DOS, SANTA INES, SUBESTACIÓN CUATRO Y VIĄEDOS",Sonora,Calidad Ambiental
192,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA HERMOSILLO, SUBESTACIONES BAGOTES, HERMOSILLO MISIÓN, HERMOSILLO CERESO, DYNATECH, ROLANDO GARCÍA URREA, HERMOSILLO DOS, HERMOSILLO SEIS, HERMOSILLO SIETE, HERMOSILLO OCHO Y RÍO SONORA",Sonora,Calidad Ambiental
193,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA NOGALES, SUBESTACIÓN NOGALES NORTE.",Sonora,Calidad Ambiental
194,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA NOGALES, SUBESTACIONES INDUSTRIAL SAN CARLOS Y LUIS DONALDO COLOSIO",Sonora,Calidad Ambiental
195,"AEROPUERTO DE VILLAHERMOSA, S.A. DE C.V.",Tabasco,Calidad Ambiental
196,"ALEN DEL NORTE, S.A. DE C.V. PLANTA VILLAHERMOSA",Tabasco,Industria Limpia
197,"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA PUEBLA i)",Puebla,Calidad Ambiental
198,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA JIQUILPAN, SUBESTACIONES JIQUILPAN, SAHUAYO, SAN JOSÉ DE GRACIA, VENUSTIANO CARRANZA.",Michoacan,Calidad Ambiental
199,"OPERADORA DE HOSPITALES ÁNGELES, S.A. DE C.V., SUCURSAL LOMAS",Distrito Federal,Calidad Ambiental
200,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA ZACAPU SUBESTACIONES ANGAMACUTIRO DOS, PURÚANDIRO, VILLA JIMÉNEZ Y ZACAPU",Michoacan,Calidad Ambiental
201,"GEN INDUSTRIAL S.A. DE C.V., CARP AGUASCALIENTES",Aguascalientes,Calidad Ambiental
202,"AS MAQUILA MÉXICO, S. DE R.L. DE C.V. (PLANTA AGUASCALIENTES)",Aguascalientes,Industria Limpia
203,"KIRCHHOFF AUTOMOTIVE MÉXICO, S.A. DE C.V.",Queretaro,Industria Limpia
204,TRIBUNAL ELECTORAL DEL PODER JUDICIAL DE LA FEDERACIÓN (SALA REGIONAL GUADALAJARA),Jalisco,Calidad Ambiental
205,"ELECTRICIDAD SOL DE TUXPAN, S. DE R.L. DE C.V. CENTRAL DE CICLO COMBINADO TUXPAN V, (EST)",Veracruz,Industria Limpia
206,"IBERDROLA RENOVABLES NOROESTE, S.A. DE C.V.",Sonora,Industria Limpia
207,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA APATZINGÁN, SUBESTACIONES COALCOMÁN, CRUCERO, DESCANSADERO, PINZÁNDARO.",Michoacan,Calidad Ambiental
208,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA APATZINGÁN, SUBESTACIONES ANTÚNEZ, APATZINGÁN, INGUARÁN, LA HUACANA, LOMBARDIA, NUEVA ITALIA, PRADERA, TEPALCATEPEC, VALLE VERDE.",Michoacan,Calidad Ambiental
209,"AMIGOS DEL DESIERTO DE COAHUILA, A.C.",Coahuila,Calidad Ambiental Turistica
210,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA URUAPAN, SUBESTACIONES CHARAPÁN, CONDEMBARO, LA ESPERANZA, MIRADOR, PARACHO DOS, TARETÁN, URUAPAN TRES.",Michoacan,Calidad Ambiental
211,"PARQUES ECOLÓGICOS DE MÉXICO, S.A. DE C.V.",Oaxaca,Industria Limpia
212,"CFE TRANSMISIÓN GERENCIA REGIONAL DE TRANSMISIÓN VALLE DE MÉXICO ZONA DE TRANSMISIÓN VALLE DE MÉXICO CENTRO, SUBESTACIÓN OTUMBA",México,Calidad Ambiental
213,"TECNOLOGÍA DE MOCIÓN CONTROLADA, S. DE R.L. DE C.V.",Chihuahua,Industria Limpia
214,"CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES, S. DE R.L. DE C.V., PLANTA HERMOSILLO",Sonora,Industria Limpia
215,"GRUPO AVIMARCA, S.A. DE C.V. (DIVISIÓN PLANTA PROCESADORA DE AVES)",Chiapas,Industria Limpia
216,"IBERDROLA COGENERACIÓN ALTAMIRA, S.A. DE C.V.",Tamaulipas,Industria Limpia
217,"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA NUEVO LAREDO)",Tamaulipas,Calidad Ambiental
218,"AEROPUERTO DE MAZATLÁN, S.A. DE C.V.",Sinaloa,Calidad Ambiental
219,"ALAMBRADOS Y CIRCUITOS ELÉCTRICOS, S. DE R.L. DE C.V. (PLANTA XVII)",Sinaloa,Industria Limpia
220,"MECHANICS & TOOLS, S.A..DE C.V.",Morelos,Industria Limpia
221,"DON DIEGO SOLAR, S.A.P.I. DE C.V.",Sonora,Industria Limpia
222,ABB ELECTRICAL CONTROL SYSTEMS S. DE R.L. DE C.V. PLANTA NOGALES,Sonora,Industria Limpia
223,"CERVECERÍA YUCATECA, S. DE R.L. DE C.V.",Yucatan,Industria Limpia
224,"NOVA PACK, S.A. DE C.V.",Morelos,Industria Limpia
225,"SERVICIO NACIONAL DE SANIDAD, INOCUIDAD Y CALIDAD AGROALIMENTARIA “PLANTA CRÍA ESTERILIZACIÓN DE MOSCAS DE LA FRUTA Y PARASITOIDES (MOSCAFRUT)",Chiapas,Industria Limpia
226,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA CULIACÁN, SUBESTACIONES CULIACÁN LIBRAMIENTO, NAVOLATO, QUILA Y SANALONA",Sinaloa,Calidad Ambiental
227,"COMERCIALIZADORA DE LÁCTEOS Y DERIVADOS, S.A. DE C.V. (PLANTA TIZAYUCA)",Hidalgo,Industria Limpia
228,"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA PUEBLA II)",Puebla,Calidad Ambiental
229,"FRITOS TOTIS, S.A. DE C.V. (PLANTA UNO)",Hidalgo,Industria Limpia
230,CFE GENERACIÓN I EPS SISTEMA HIDROELÉCTRICO MIGUEL ALEMAN C.H. SANTA BÁRBARA/C.H.TINGAMBATO,México,Industria Limpia
231,"FOL-MEX, S.A. DE C.V.",Distrito Federal,Industria Limpia
232,VITALMEX COMERCIAL S.A. DE C.V.,Morelos,Industria Limpia
233,"COMERCIALIZADORA LA JUNTA, S.A. DE C.V.",Colima,Calidad Ambiental
234,"CAPSUGEL DE MÉXICO, S. DE R.L. DE C.V.",Puebla,Industria Limpia
235,"ALTECSA, S.A. DE C.V.",Tlaxcala,Industria Limpia
236,"GILL INDUSTRIES OF MÉXICO, S. DE R.L. DE C.V. PLANTA NAUCALPAN",Distrito Federal,Industria Limpia
237,"RESINAS SINTÉTICAS, S.A. DE C.V.",Michoacan,Industria Limpia
238,"THOR QUIMICOS DE MÉXICO, S.A. DE C.V.",Queretaro,Industria Limpia
239,"ASOCIACIÓN ESTRATÉGICA AMBIENTAL Y LABORAL, S.A. DE C.V. (OSCAR CONSULTORES)",Jalisco,Calidad Ambiental
240,"PROCTER & GAMBLE MANUFACTURING MÉXICO, S. DE R.L. DE C.V. - PLANTA ALCE BLANCO",Distrito Federal,Industria Limpia
241,"FÁBRICAS MONTERREY, S.A. DE C.V. PLANTA TOLUCA",México,Industria Limpia
242,"AEROPUERTO DE MORELIA, S.A. DE C.V.",Michoacan,Calidad Ambiental
243,"OPERADORA TURÍSTICA VICTORIA, S.A. DE C.V. (GRAND FIESTA AMERICANA QUERÉTARO)",Queretaro,Calidad Ambiental Turistica
244,"COOPER-STANDARD AUTOMOTIVE SERVICES, S. DE R.L. DE C.V. (PLANTA AGUASCALIENTES)",Aguascalientes,Industria Limpia
245,"CORPORACIÓN DEL BALSAS, S.A. DE C.V. (MUELLE DE METALES Y MINERALES)",Michoacan,Calidad Ambiental
246,"EÓLICA DOS ARBOLITOS, S.A. DE C.V.",Oaxaca,Industria Limpia
247,"CFE TRANSMISIÓN, GERENCIA NOROESTE, ZONA MAZATLÁN, SUBESTACIONES MAZATLÁN DOS Y HABAL",Sinaloa,Calidad Ambiental
248,"CFE GENERACIÓN II EPS, PRESA REGULADORA SAN RAFAEL",Nayarit,Calidad Ambiental
249,"AEROPUERTO DE COZUMEL, S.A. DE C.V.",Quintana Roo,Calidad Ambiental
250,"PALETAS MARA, S.A. DE C.V.",Zacatecas,Industria Limpia
251,"AEROPUERTO DE HUATULCO, S.A. DE C.V.",Oaxaca,Calidad Ambiental
252,"BONAFONT, S.A. DE C.V. (PLANTA VILLAHERMOSA)",Tabasco,Industria Limpia
253,"EMBOTELLADORA MEXICANA DE BEBIDAS REFRESCANTES, S. DE R.L. DE C.V. PLANTA SABINO",Distrito Federal,Industria Limpia
254,"FÁBRICA DE HARINAS ELIZONDO, S.A. DE C.V., PLANTA POLANCO",Distrito Federal,Industria Limpia
255,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA SABINAS, SUBESTACIÓN BAJÍO",Coahuila,Calidad Ambiental
256,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA SABINAS, SUBESTACIÓN MINERA",Coahuila,Calidad Ambiental
257,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA SABINAS, SUBESTACIÓN SABINAS",Coahuila,Calidad Ambiental
258,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA SALTILLO, SUBESTACIÓN CAPELLANÍA",Coahuila,Calidad Ambiental
259,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA NUEVO LAREDO, SUBESTACIÓN FALCÓN",Tamaulipas,Calidad Ambiental
260,"AEROPUERTO DE ZIHUATANEJO, S.A. DE C.V.",Guerrero,Calidad Ambiental
261,"MULTISUR, S.A. DE C.V. (TERMINAL GRANELERA)",Yucatan,Calidad Ambiental
262,"ESPAMEX DISTRIBUCIONES Y REPRESENTACIONES, S.A. DE C.V. (CEDINAL), CENTRO DE DISTRIBUCIÓN NACIONAL",Tlaxcala,Calidad Ambiental
263,"CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES, S. DE R.L. DE C.V., PLANTA PANZACOLA",Tlaxcala,Industria Limpia
264,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA MORELIA, SUBESTACIONES TARIMBARO, CUITZEO, MORELOS, MORELIA NORTE, AEROPUERTO, ABASTOS, MORELIA INDUSTRIAL, PEDREGAL, CUITZILLOS Y TRIGUILLOS",Michoacan,Calidad Ambiental
265,"CFE DISTRIBUCION, GERENCIA BAJIO, ZONA QUERÉTARO, SUBESTACIONES SAN JOSÉ ITURBIDE Y LA SOLEDAD",Guanajuato,Calidad Ambiental
266,"INTIMARK, S. DE R.L DE C.V",México,Industria Limpia
267,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA ZAMORA, SUBESTACIONES ARBOLEDAS, GUASCUARO, IXTLÁN, JACONA, PERIBÁN, PURÉPERO, ZAMORA",Michoacan,Calidad Ambiental
268,"CFE DISTRIBUCION, GERENCIA BAJIO, ZONA QUERÉTARO, SUBESTACIONES LA GRIEGA, QUERÉTARO INDUSTRIAL, QUERÉTARO MANIOBRAS, QUERÉTARO SUR, SAN ILDEFONSO, SATÉLITE, TEPEYAC, CIMATARIO, AEROESPACIAL, MICRO PARQUE, BUENAVISTA NORTE Y MARQUÉS ORIENTE",Queretaro,Calidad Ambiental
269,CFE GENERACIÓN VI CENTRAL HIDROELÉCTRICA BELISARIO DOMÍNGUEZ (ANGOSTURA),Chiapas,Industria Limpia
270,"COMPAĄÍA MINERA PITALLA, S.A. DE C.V. (UNIDAD LA COLORADA)",Sonora,Industria Limpia
271,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE TRANSMISIÓN, GERENCIA NOROESTE, ZONA CULIACÁN, SUBESTACIONES CULIACÁN TRES, CULIACÁN POTENCIA, LA HIGUERA, GUAMÚCHIL DOS Y CULIACÁN PONIENTE",Sinaloa,Calidad Ambiental
272,"BEBIDAS MUNDIALES, S. DE R.L. DE C.V. PLANTA LA FAVORITA",Jalisco,Industria Limpia
273,"CFE TRANSMISIÓN, ZONA DE TRANSMISIÓN CAMARGO (SUBESTACIONES ELÉCTRICAS, FRANCISCO VILLA, CAMARGO DOS, MESTEĄAS Y SANTIAGO DOS)",Chihuahua,Calidad Ambiental
274,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA CANCÚN, SUBESTACIÓN POKTAPOK",Quintana Roo,Calidad Ambiental
275,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA CANCÚN, SUBESTACIÓN CANEK",Quintana Roo,Calidad Ambiental
276,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA CANCÚN, SUBESTACIÓN CHAAC",Quintana Roo,Calidad Ambiental
277,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA CANCÚN, SUBESTACIÓN HUNABKU",Quintana Roo,Calidad Ambiental
278,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA CANCÚN, SUBESTACIÓN IXCHEL",Quintana Roo,Calidad Ambiental
279,"CELULOSA Y CORRUGADOS DE SONORA, S.A. DE C.V. (PLANTA NAVOJOA)",Sonora,Industria Limpia
280,"MOTORES HERMÉTICOS DEL SUR, S. DE R.L. DE C.V.",Tamaulipas,Industria Limpia
281,"BIMBO, S.A. DE C.V. PLANTA SANTA MARÍA",Distrito Federal,Industria Limpia
282,CFE. GENERACIÓN VI CENTRAL HIDROELÉCTRICA BOMBANÁ,Chiapas,Industria Limpia
283,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE GENERACIÓN, CRP SURESTE, CENTRAL TURBOGAS CHANKANAAB",Quintana Roo,Industria Limpia
284,"CFE DISTRIBUCIÓN, GERENCIA BAJÍO, ZONA SAN JUAN DEL RÍO, SUBESTACIÓN SAN JUAN MANIOBRAS",Queretaro,Calidad Ambiental
285,"CFE DISTRIBUCIÓN, GERENCIA BAJÍO, ZONA SAN JUAN DEL RÍO, SUBESTACIÓN EZEQUIEL MONTES",Queretaro,Calidad Ambiental
286,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE GENERACIÓN, CRP SURESTE, CENTRAL TURBOGAS NIZUC",Quintana Roo,Industria Limpia
287,"FÁBRICA DE PAPEL SAN FRANCISCO, S.A. DE C.V. (PLANTA CONVERSIÓN MEXICALI)",Baja California,Industria Limpia
288,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA PIEDRAS NEGRAS, SUBESTACIÓN ALLENDE DOS",Coahuila,Calidad Ambiental
289,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA PIEDRAS NEGRAS, SUBESTACIÓN PUENTE INTERNACIONAL",Coahuila,Industria Limpia
290,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA PIEDRAS NEGRAS, SUBESTACIÓN PARQUE INDUSTRIAL ACUĄA",Coahuila,Calidad Ambiental
291,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA MONCLOVA, SUBESTACIÓN ALTAMIRANO",Coahuila,Calidad Ambiental
292,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA MONCLOVA, SUBESTACIÓN REGIDORES",Coahuila,Calidad Ambiental
293,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA CHILPANCINGO, SUBESTACIONES: TLAPA NUEVA, OLINALÁ Y LA VENTA",Guerrero,Calidad Ambiental
294,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA CHILPANCINGO, SUBESTACIONES: AYUTLA, TIXTLA, MALINALTEPEC Y HUAMUXTITLÁN",Guerrero,Calidad Ambiental
295,"CFE DISTRIBUCIÓN, DIVISIÓN CENTRO SUR, ZONA ACAPULCO, SUBESTACIÓN POZO RANNEY",Guerrero,Calidad Ambiental
296,"CFE GENERACIÓN I EPS, CENTRAL HIDROELÉCTRICA INFIERNILLO",Michoacan,Industria Limpia
297,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA NUEVO LAREDO, SUBESTACIÓN CAMPESTRE",Tamaulipas,Calidad Ambiental
298,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA NUEVO LAREDO, SUBESTACIÓN NUEVO LAREDO",Tamaulipas,Calidad Ambiental
299,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA NUEVO LAREDO, SUBESTACIÓN LAREDO PONIENTE",Tamaulipas,Calidad Ambiental
300,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA PIEDRAS NEGRAS, SUBESTACIÓN MICARE",Coahuila,Calidad Ambiental
301,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA MAZATLÁN SUBESTACIONES MAZATLÁN ORIENTE Y MAZATLÁN UNO",Sinaloa,Calidad Ambiental
