rank,empresa,razon_social,municipio,estado,scian,actividad,estrato_personal,parque_industrial,certificado_profepa,senales_publicas,score,source_urls,source_date
22,G ONE AUTO PARTS DE MÉXICO,G ONE AUTO PARTS DE MÉXICO,Apaseo el Grande,Guanajuato,336210,Fabricación de carrocerías y remolques,251 y más personas,Amistad Bajío,,SCIAN intensivo en energía (336210); Parque: Amistad Bajío; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
23,MAHLE SISTEMAS DE FILTRACION DE MEXICO,MAHLE SISTEMAS DE FILTRACION DE MEXICO,Apaseo el Grande,Guanajuato,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Amistad Bajío,,SCIAN intensivo en energía (336390); Parque: Amistad Bajío; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
24,MUBEA DE MEXICO,MUBEA DE MEXICO,Apaseo el Grande,Guanajuato,336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,251 y más personas,Amistad Bajío,,SCIAN intensivo en energía (336330); Parque: Amistad Bajío; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
25,SERVICIOS VISTAMEX,SERVICIOS VISTAMEX,Apaseo el Grande,Guanajuato,326194,Fabricación de otros productos de plástico de uso industrial sin reforzamiento,251 y más personas,Amistad Bajío,,SCIAN intensivo en energía (326194); Parque: Amistad Bajío; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
26,SETEX AUTOMOTIVE MÉXICO,SETEX AUTOMOTIVE MÉXICO,Apaseo el Grande,Guanajuato,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,251 y más personas,Amistad Bajío,,SCIAN intensivo en energía (336360); Parque: Amistad Bajío; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
27,STANDARD PROFIL MEXICO,STANDARD PROFIL MEXICO,Apaseo el Grande,Guanajuato,326290,Fabricación de otros productos de hule,251 y más personas,Amistad Bajío,,SCIAN intensivo en energía (326290); Parque: Amistad Bajío; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
28,YAMADA VISTAMEX,YAMADA VISTAMEX,Apaseo el Grande,Guanajuato,326193,Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento,251 y más personas,Amistad Bajío,,SCIAN intensivo en energía (326193); Parque: Amistad Bajío; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
29,YOROZU AUTOMOTIVE GUANAJUATO DE MEXICO,YOROZU AUTOMOTIVE GUANAJUATO DE MEXICO,Apaseo el Grande,Guanajuato,336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,251 y más personas,Amistad Bajío,,SCIAN intensivo en energía (336330); Parque: Amistad Bajío; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
30,YUTAKA TECHONOLOGIES DE MÉXICO,YUTAKA TECHONOLOGIES DE MÉXICO,Apaseo el Grande,Guanajuato,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Amistad Bajío,,SCIAN intensivo en energía (336390); Parque: Amistad Bajío; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
31,ARBOMEX,ARBOMEX,Celaya,Guanajuato,336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices,251 y más personas,Ciudad Industrial,,SCIAN intensivo en energía (336310); Parque: Ciudad Industrial; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
32,CELAY,CELAY,Celaya,Guanajuato,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Ciudad Industrial,,SCIAN intensivo en energía (336390); Parque: Ciudad Industrial; DENUE 251+ empleados (2026-05),3,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26
